Match_Date,Match_Day,Match_Time,Stadium,City,Home_Team,Away_Team,Stand_Type,Seat_Category,Match_Type,Weekend,Holiday,Opponent_Popularity,Weather,Rain_Probability,Demand_Level,Previous_Match_Attendance,Stadium_Capacity,Available_Seats,Booking_Time,Days_Before_Match,Base_Price,Predicted_Price
2023-06-03,Saturday,3:30 PM,Wankhede Stadium,Mumbai,MI,CSK,East,Economy,League,Yes,No,High,Sunny,2,Medium,19935,33108,780,1-6 hours before,22,500,750
2023-05-20,Saturday,7:30 PM,Sawai Mansingh Stadium,Jaipur,RR,LSG,West,Economy,Qualifier,Yes,No,Low,Sunny,4,Medium,21161,30000,758,1-3 days before,3,500,750
2023-04-05,Wednesday,7:30 PM,Eden Gardens,Kolkata,KKR,GT,VIP,VIP,League,No,No,Medium,Rainy,84,Very High,53920,66000,1416,0-1 hour before,1,3500,5150
2023-05-23,Tuesday,3:30 PM,Narendra Modi Stadium,Ahmedabad,GT,MI,Premium,VIP,League,No,No,High,Sunny,21,Medium,102255,132000,8233,3-7 days before,20,3500,3600
2023-07-21,Friday,7:30 PM,M Chinnaswamy Stadium,Bengaluru,RCB,SRH,Corporate Box,Corporate,Qualifier,No,No,Medium,Rainy,12,Medium,14449,35000,3296,6-24 hours before,2,5000,6900
2023-05-18,Thursday,7:30 PM,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,LSG,GT,VIP,VIP,League,No,No,Medium,Sunny,17,High,43675,50000,1264,3-7 days before,12,3500,4250
2023-07-29,Saturday,3:30 PM,MA Chidambaram Stadium (Chepauk),Chennai,CSK,RR,West,Economy,League,Yes,No,Medium,Rainy,59,High,34619,50000,3976,1-3 days before,16,500,500
2023-09-15,Friday,3:30 PM,Sawai Mansingh Stadium,Jaipur,RR,CSK,VIP,Corporate,Qualifier,No,No,High,Sunny,9,Medium,17444,30000,4819,7+ days before,8,5000,8050
2023-04-21,Friday,7:30 PM,MA Chidambaram Stadium (Chepauk),Chennai,CSK,RR,Corporate Box,Corporate,League,No,No,Medium,Rainy,74,Very High,49000,50000,371,3-7 days before,10,5000,6850
2023-06-11,Sunday,3:30 PM,Wankhede Stadium,Mumbai,MI,LSG,Corporate Box,Corporate,League,Yes,Yes,Low,Sunny,2,Very High,30446,33108,250,7+ days before,15,5000,9100
2023-08-07,Monday,7:30 PM,MA Chidambaram Stadium (Chepauk),Chennai,CSK,GT,Corporate Box,Corporate,Qualifier,No,No,Medium,Sunny,21,High,35952,50000,3247,0-1 hour before,7,5000,7400
2023-08-22,Tuesday,3:30 PM,Eden Gardens,Kolkata,KKR,CSK,East,Economy,Qualifier,No,No,High,Sunny,2,Very High,64680,66000,98,1-6 hours before,8,500,1150
2023-04-27,Thursday,7:30 PM,M Chinnaswamy Stadium,Bengaluru,RCB,RR,Premium,VIP,League,No,No,Medium,Sunny,13,Medium,19755,35000,5371,0-1 hour before,21,3500,3500
2023-07-06,Thursday,7:30 PM,Wankhede Stadium,Mumbai,MI,CSK,West,Economy,League,No,No,High,Cloudy,4,Medium,16932,33108,2223,0-1 hour before,14,500,650
